,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
95,Mechanicsville,33.7419681,-84.3957413,Rain Night Club,33.73670856161377,-84.40269031305978,Nightclub
96,Mechanicsville,33.7419681,-84.3957413,Shell,33.74358037,-84.40352523,Gas Station
97,Mechanicsville,33.7419681,-84.3957413,Fed Ex Office Georgia World Congress Center,33.744175812745176,-84.39832386721139,Paper / Office Supplies Store
98,Mechanicsville,33.7419681,-84.3957413,Mama Mia's Pizzeria,33.74966675904327,-84.39083514998505,Pizza Place
99,Mechanicsville,33.7419681,-84.3957413,Believe Music Hall,33.73707333,-84.39365833,Music Venue
100,Mechanicsville,33.7419681,-84.3957413,Spelman College Museum Gift Shop,33.74824610087024,-84.39670248910761,Museum
101,Mechanicsville,33.7419681,-84.3957413,House of Adrene,33.747278522230765,-84.40148048662326,Boutique
102,Mechanicsville,33.7419681,-84.3957413,Escobar,33.74583098838248,-84.40376469075993,Restaurant
103,Mechanicsville,33.7419681,-84.3957413,Kelz Kitchen,33.75028627200778,-84.3952905748557,American Restaurant
104,Mechanicsville,33.7419681,-84.3957413,zumba with Glitter,33.73657962117978,-84.40231023005316,Gym
105,Mechanicsville,33.7419681,-84.3957413,The Olde Kitchen,33.74590051904237,-84.40371103679378,Breakfast Spot
106,Mechanicsville,33.7419681,-84.3957413,Shoe Lounge,33.74830002564803,-84.40168261528015,Clothing Store
107,Mechanicsville,33.7419681,-84.3957413,Cartoon Network's Tooner Field,33.736254583568986,-84.38858979668558,Baseball Field
108,Mechanicsville,33.7419681,-84.3957413,Suede Tapas Lounge,33.75070993432889,-84.39634844807159,Lounge
109,Mechanicsville,33.7419681,-84.3957413,Suntrust Lounge Turner Field,33.73506034,-84.38994031,Baseball Field
110,Mechanicsville,33.7419681,-84.3957413,Ju-Tox Juice Bar & Wellness Center,33.74828664432998,-84.40285742282867,Juice Bar
111,Mechanicsville,33.7419681,-84.3957413,Vice,33.750852942466736,-84.39629543,Nightclub
112,Mechanicsville,33.7419681,-84.3957413,Wasabi Sushi Wine & Ake Lounge,33.749323945341914,-84.40176145144491,Japanese Restaurant
113,Mechanicsville,33.7419681,-84.3957413,"Quickly Locksmith, LLC",33.74466112208923,-84.38549280166626,Locksmith
114,Mechanicsville,33.7419681,-84.3957413,Match Lounge ATL,33.749417,-84.401756,Restaurant
115,Mechanicsville,33.7419681,-84.3957413,"Country Inn & Suites by Radisson, Atlanta Downtown South at Turner Field, GA",33.73385237199208,-84.39128186966627,Hotel
116,Peoplestown,33.7278848,-84.3852043,Eventide Brewing,33.72668528625053,-84.37701307438189,Brewery
117,Peoplestown,33.7278848,-84.3852043,Patria Cocina,33.72552550984635,-84.37700815277877,Mexican Restaurant
118,Peoplestown,33.7278848,-84.3852043,Mediterranea Restaurant and Bakery,33.73155754425442,-84.37685274280726,Mediterranean Restaurant
119,Peoplestown,33.7278848,-84.3852043,Dosser Works Paintball,33.72155701658566,-84.38447712812808,Paintball Field
